instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,_date
289801,1132,NIFTY100ESGSECLDR,NIFTY100ESGSECLDR,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
290057,1133,NIFTY200MOMENTM30,NIFTY200MOMENTM30,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
290313,1134,NIFTY TOTAL MKT,NIFTY TOTAL MKT,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
290569,1135,NIFTY MICROCAP250,NIFTY MICROCAP250,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
290825,1136,NIFTY M150 QLTY50,NIFTY M150 QLTY50,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
291081,1137,NIFTY INDIA MFG,NIFTY INDIA MFG,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
291337,1138,NIFTY IND DIGITAL,NIFTY IND DIGITAL,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
291593,1139,NIFTY100 ESG,NIFTY100 ESG,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
294409,1150,NIFTY200 ALPHA 30,NIFTY200 ALPHA 30,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
294665,1151,NIFTYM150MOMNTM50,NIFTYM150MOMNTM50,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
294921,1152,NIFTY TATA 25 CAP,NIFTY TATA 25 CAP,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
295177,1153,NIFTY MULTI MFG,NIFTY MULTI MFG,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
295433,1154,NIFTY MULTI INFRA,NIFTY MULTI INFRA,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
295689,1155,NIFTY MIDSML HLTH,NIFTY MIDSML HLTH,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
404745,1581,NIFTY AQL 30,NIFTY ALPHA QUALITY LOW-VOLATILITY 30,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
405001,1582,NIFTY AQLV 30,NIFTY ALPHA QUALITY VALUE LOW VOLATILITY 30,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
405257,1583,NIFTY CORP MAATR,NIFTY INDIA SELECT 5 CORPORATE GROUPS,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
405513,1584,NIFTY EV,NIFTY EV & NEW AGE AUTOMOTIVE,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
405769,1585,NIFTY HIGHBETA 50,NIFTY HIGHBETA 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
406025,1586,NIFTY LOW VOL 50,NIFTY LOW VOLATILITY 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
406281,1587,NIFTY MOBILITY,NIFTY MOBILITY,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
406537,1588,NIFTY MULTI MQ 50,NIFTY500 MULTICAP MOMENTUM QUALITY 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
406793,1589,NIFTY NEW CONSUMP,NIFTY INDIA NEW AGE CONSUMPTION,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
407049,1590,NIFTY QLTY LV 30,NIFTY QUALITY LOW VOLATILITY 30,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
407305,1591,NIFTY SML250 Q50,NIFTY SMALLCAP250 QUALITY 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
407561,1592,NIFTY TOP 10 EW,NIFTY TOP 10 EQUAL WEIGHT,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
407817,1593,NIFTY TOP 15 EW,NIFTY TOP 15 EQUAL WEIGHT,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
408073,1594,NIFTY TOP 20 EW,NIFTY TOP 20 EQUAL WEIGHT,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
408329,1595,NIFTY100 ALPHA 30,NIFTY100 ALPHA 30,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
408585,1596,NIFTY100 ENHANCED ESG,NIFTY100 ENHANCED ESG,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
408841,1597,NIFTY200 VALUE 30,NIFTY200 VALUE 30,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
409097,1598,NIFTY500 EQUAL WEIGHT,NIFTY500 EQUAL WEIGHT,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
409353,1599,NIFTY500 VALUE 50,NIFTY500 VALUE 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
409609,1600,NIFTY500MOMENTM50,NIFTY500 MOMENTUM 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
409865,1601,NIFTYMS400 MQ 100,NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
410121,1602,NIFTYSML250MQ 100,NIFTY SMALLCAP250 MOMENTUM QUALITY 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
410377,1603,NIFTY CORE HOUSING,NIFTY CORE HOUSING,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
410633,1604,NIFTY FINSEREXBNK,NIFTY FINANCIAL SERVICES,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
410889,1605,NIFTY HOUSING,NIFTY HOUSING,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
411145,1606,NIFTY IPO,NIFTY IPO,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
411401,1607,NIFTY MS FIN SERV,NIFTY MIDSMALL FINANCIAL SERVICES,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
411657,1608,NIFTY MS IND CONS,NIFTY MIDSMALL INDIA CONSUMPTION,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
411913,1609,NIFTY MS IT TELCM,NIFTY MIDSMALL IT & TELECOM,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
412169,1610,NIFTY NONCYC CONS,NIFTY NON-CYCLICAL CONSUMER,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
412425,1611,NIFTY RURAL,NIFTY RURAL,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
412681,1612,NIFTY SHARIAH 25,NIFTY SHARIAH 25,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
412937,1613,NIFTY TRANS LOGIS,NIFTY TRANSPORTATION & LOGISTICS,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
413193,1614,NIFTY50 SHARIAH,NIFTY50 SHARIAH,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
413449,1615,NIFTY500 LMS EQL,NIFTY500 LARGEMIDSMALL EQUAL CAP WEIGHTED,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
413705,1616,NIFTY500 SHARIAH,NIFTY500 SHARIAH,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
413961,1617,NIFTY IND DEFENCE,NIFTY INDIA DEFENCE,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
414217,1618,NIFTY IND TOURISM,NIFTY INDIA TOURISM,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
414473,1619,NIFTY CAPITAL MKT,NIFTY CAPITAL MARKETS,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
416777,1628,BHARATBOND-APR33,NSE INDEX BHARATBOND-APR33,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
417033,1629,BHARATBOND-APR32,NSE INDEX BHARATBOND-APR32,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
417289,1630,BHARATBOND-APR31,NSE INDEX BHARATBOND-APR31,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
417545,1631,BHARATBOND-APR30,NSE INDEX BHARATBOND-APR30,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
417801,1632,NIFTY500 LOWVOL50,NSE INDEX NIFTY500 LOWVOL50,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
418057,1633,NIFTY500 MQVLV50,NSE INDEX NIFTY500 MQVLV50,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
418313,1634,NIFTY500 QLTY50,NSE INDEX NIFTY500 QLTY50,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
418569,1635,NIFTY50 USD,NSE INDEX NIFTY50 USD,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
418825,1636,NIFTY FPI 150,NIFTY FPI 150,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
419081,1637,NIFTY500 FLEXICAP,NIFTY500 FLEXICAP,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
419337,1638,NIFTY TMMQ 50,NIFTY TMMQ 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
419593,1639,NIFTY SME EMERGE,NSE INDEX NIFTY SME EMERGE,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
419849,1640,NIFTY INTERNET,NIFTY INTERNET,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
420105,1641,NIFTY CHEMICALS,NSE INDEX NIFTY CHEMICALS,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
420361,1642,NIFTY WAVES,NSE INDEX NIFTY WAVES,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
420617,1643,NIFTY INFRALOG,NSE INDEX NIFTY INFRALOG,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
420873,1644,NIFTY500 HEALTH,NIFTY500 HEALTH,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
421129,1645,NIFTY RAILWAYS PSU,NIFTY RAILWAYS PSU,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
421385,1646,NIFTYCONGLOMERATE,NIFTYCONGLOMERATE,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
769,3,GOLDSTAR-ST,GOLDSTAR POWER,0.0,,0.0,0.05,11250,EQ,NSE,NSE,2026-06-03
1025,4,21STCENMGM,21ST CENTURY MGMT SERVICE,0.0,,0.0,0.01,1,EQ,NSE,NSE,2026-06-03
1793,7,AARTIIND,AARTI INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,2026-06-03
3329,13,ABB,ABB INDIA,0.0,,0.0,0.5,1,EQ,NSE,NSE,2026-06-03
3585,14,656KA30-SG,SDL KA 6.56% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
4353,17,GATECHDVR,GACM TECHNOLOGIES,0.0,,0.0,0.01,1,EQ,NSE,NSE,2026-06-03
4609,18,66RJ30-SG,SDL RJ 6.6% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
4865,19,STYRENIX,STYRENIX PERFORMANCE,0.0,,0.0,0.1,1,EQ,NSE,NSE,2026-06-03
5121,20,66GA30A-SG,SDL GA 6.6% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
5377,21,664UP30-SG,SDL UP 6.64% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
5633,22,ACC,ACC,0.0,,0.0,0.1,1,EQ,NSE,NSE,2026-06-03
5889,23,67JK30-SG,SDL JK 6.7% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
6401,25,ADANIENT,ADANI ENTERPRISES,0.0,,0.0,0.1,1,EQ,NSE,NSE,2026-06-03
6657,26,67HR30-SG,SDL HR 6.7% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
7425,29,667MH31-SG,SDL MH 6.67% 2031,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
8193,32,679MP33-SG,SDL MP 6.79% 2033,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
8705,34,ADOR,ADOR WELDING,0.0,,0.0,0.1,1,EQ,NSE,NSE,2026-06-03
8961,35,677KA34-SG,SDL KA 6.77% 2034,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
9729,38,685AP36-SG,SDL AP 6.85% 2036,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
10241,40,AEGISLOG,AEGIS LOGISTICS,0.0,,0.0,0.05,1,EQ,NSE,NSE,2026-06-03
10497,41,687AP38-SG,SDL AP 6.87% 2038,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
10753,42,677WB40-SG,SDL WB 6.77% 2040,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
11777,46,SANWARIA-BZ,SANWARIA CONSUMER,0.0,,0.0,0.01,1,EQ,NSE,NSE,2026-06-03
12289,48,HAPPSTMNDS,HAPPIEST MINDS TECHNO,0.0,,0.0,0.05,1,EQ,NSE,NSE,2026-06-03
16641,65,663GJ29-SG,SDL GJ 6.63% 2029,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
17409,68,684TS40-SG,SDL TS 6.84% 2040,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
18433,72,665KA30-SG,SDL KA 6.65% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
18945,74,675KA33-SG,SDL KA 6.75% 2033,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
19457,76,667UK30-SG,SDL UK 6.67% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
20225,79,ALEMBICLTD,ALEMBIC,0.0,,0.0,0.01,1,EQ,NSE,NSE,2026-06-03
21249,83,67ML30-SG,SDL ML 6.7% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
22017,86,67NL30-SG,SDL NL 6.7% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
22273,87,667RJ30-SG,SDL RJ 6.67% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
22785,89,67TR30-SG,SDL TR 6.7% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
23553,92,668UP30-SG,SDL UP 6.68% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
24321,95,676MP33-SG,SDL MP 6.76% 2033,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
25601,100,ARE&M,AMARA RAJA ENERGY MOB,0.0,,0.0,0.05,1,EQ,NSE,NSE,2026-06-03
26625,104,SHAREINDIA,SHARE IND. SECURITIES,0.0,,0.0,0.01,1,EQ,NSE,NSE,2026-06-03
30721,120,OMFURN-ST,OMFURN INDIA,0.0,,0.0,0.05,1200,EQ,NSE,NSE,2026-06-03
32769,128,ROUTE,ROUTE MOBILE,0.0,,0.0,0.05,1,EQ,NSE,NSE,2026-06-03
34817,136,ANDHRSUGAR,ANDHRA SUGARS,0.0,,0.0,0.01,1,EQ,NSE,NSE,2026-06-03
36865,144,GODREJAGRO,GODREJ AGROVET,0.0,,0.0,0.05,1,EQ,NSE,NSE,2026-06-03
38145,149,SGBSEP28VI-GB,2.50%GOLDBONDS2028SR-VI,0.0,,0.0,0.01,1,EQ,NSE,NSE,2026-06-03
39425,154,APCOTEXIND,APCOTEX INDUSTRIES LIMITE,0.0,,0.0,0.05,1,EQ,NSE,NSE,2026-06-03
40193,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,0.0,,0.0,0.5,1,EQ,NSE,NSE,2026-06-03
40449,158,67MH28-SG,SDL MH 6.7% 2028,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
40705,159,MILTON-SM,MILTON INDUSTRIES,0.0,,0.0,0.05,2200,EQ,NSE,NSE,2026-06-03
41217,161,674UP30-SG,SDL UP 6.74% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
41729,163,APOLLOTYRE,APOLLO TYRES,0.0,,0.0,0.05,1,EQ,NSE,NSE,2026-06-03
41985,164,68AS30-SG,SDL AS 6.8% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
42241,165,674GA30-SG,SDL GA 6.74% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
42497,166,ANDHRAPAP,ANDHRA PAPER,0.0,,0.0,0.01,1,EQ,NSE,NSE,2026-06-03
42753,167,67GJ30-SG,SDL GJ 6.7% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
43521,170,67KA30-SG,SDL KA 6.7% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
43777,171,672RJ30-SG,SDL RJ 6.72% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
44289,173,673SK30-SG,SDL SK 6.73% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
45825,179,669TN30-SG,SDL TN 6.69% 2030,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
46337,181,ARENTERP,RAJDARSHAN INDUSTRIES,0.0,,0.0,0.01,1,EQ,NSE,NSE,2026-06-03
46593,182,678KA32-SG,SDL KA 6.78% 2032,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
47105,184,TCPLPACK,TCPL PACKAGING,0.0,,0.0,0.1,1,EQ,NSE,NSE,2026-06-03
47361,185,678MH32-SG,SDL MH 6.78% 2032,0.0,,0.0,0.01,100,EQ,NSE,NSE,2026-06-03
47617,186,850NHAI29-N5,,0.0,,0.0,0.01,1,EQ,NSE,NSE,2026-06-03
49153,192,875NHAI29-N6,,0.0,,0.0,0.01,1,EQ,NSE,NSE,2026-06-03
49409,193,ARVIND,ARVIND,0.0,,0.0,0.05,1,EQ,NSE,NSE,2026-06-03
50945,199,MASFIN,MAS FINANCIAL SERV,0.0,,0.0,0.05,1,EQ,NSE,NSE,2026-06-03
51457,201,UNIDT,UNITED DRILLING TOOLS,0.0,,0.0,0.01,1,EQ,NSE,NSE,2026-06-03
51969,203,ASHAPURMIN,ASHAPURA MINECHEM,0.0,,0.0,0.05,1,EQ,NSE,NSE,2026-06-03
52737,206,ASHIMASYN,ASHIMA,0.0,,0.0,0.01,1,EQ,NSE,NSE,2026-06-03
54273,212,ASHOKLEY,ASHOK LEYLAND,0.0,,0.0,0.01,1,EQ,NSE,NSE,2026-06-03
56321,220,IEX,INDIAN ENERGY EXC,0.0,,0.0,0.01,1,EQ,NSE,NSE,2026-06-03
60417,236,ASIANPAINT,ASIAN PAINTS,0.0,,0.0,0.1,1,EQ,NSE,NSE,2026-06-03
61441,240,AAKASH-BE,AAKASH EXPLORATION SER L,0.0,,0.0,0.01,1,EQ,NSE,NSE,2026-06-03
